Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
41487,815.9,299.046841,177.0814896,1.688752684,0.805825541,42483,229.8323062,0.68917572,0.976555328,0.783155548,0.76854952,0.007208206,0.001551295,0.590668365,0.997492788,BARBUNYA
41488,759.552,283.1427772,186.9854891,1.514250001,0.750920218,42005,229.8350762,0.708433653,0.987691941,0.903685555,0.811728551,0.006824691,0.001827705,0.65890324,0.997744232,BARBUNYA
42012,809.77,266.7003964,202.3810876,1.317812843,0.651285139,43087,231.2819486,0.770975556,0.975050479,0.80511859,0.867197618,0.006348196,0.002214636,0.752031709,0.991037045,BARBUNYA
43122,838.186,296.4045889,185.6575998,1.596512016,0.779529536,44074,234.3173823,0.731985538,0.978399964,0.77130821,0.790532235,0.006873628,0.001655938,0.624941215,0.997726159,BARBUNYA
43145,799.426,273.4029446,201.2668862,1.358409969,0.676813217,43812,234.379863,0.766123304,0.98477586,0.848367064,0.857268978,0.00633684,0.002111159,0.734910101,0.998309207,BARBUNYA
44027,813.833,293.3718283,192.1111738,1.527094039,0.755768822,44639,236.7634208,0.756217795,0.986290015,0.835330551,0.807042115,0.006663453,0.001743668,0.651316975,0.994622271,BARBUNYA
44924,817.215,282.1488206,203.1618504,1.388788397,0.693920006,45772,239.1631521,0.79427157,0.98147339,0.845309254,0.847648952,0.006280581,0.002000063,0.718508746,0.997856609,BARBUNYA
45012,854.166,299.2873979,192.127518,1.557753938,0.766746577,45841,239.3972815,0.779820169,0.981915752,0.775271133,0.799890952,0.006649058,0.001679048,0.639825535,0.996690746,BARBUNYA
45564,802.744,296.0736966,196.3402805,1.507962074,0.748489491,46120,240.8607204,0.746461337,0.987944493,0.888541202,0.813516105,0.006497974,0.001755587,0.661808452,0.997982047,BARBUNYA
45653,841.132,303.4694909,191.9320765,1.581129618,0.774593661,46601,241.0958418,0.772431179,0.979657089,0.810869331,0.794464844,0.006647307,0.001633519,0.631174389,0.99796852,BARBUNYA
46278,846.308,300.6302146,196.4784442,1.530092605,0.756878843,47102,242.7405604,0.790995795,0.982506051,0.81194676,0.807439002,0.00649618,0.001703243,0.651957742,0.99755572,BARBUNYA
46529,815.026,289.608245,205.3813982,1.410099686,0.705037806,47156,243.3979515,0.77828516,0.986703707,0.880218833,0.840438612,0.006224253,0.001915539,0.706337061,0.996005667,BARBUNYA
46774,833.722,305.7038868,196.1460607,1.558552263,0.767021759,47446,244.0379201,0.793909974,0.98583653,0.845613391,0.798282033,0.006535765,0.0016372,0.637254204,0.993193981,BARBUNYA
47003,821.301,300.1907651,200.1112844,1.500119126,0.745403341,47681,244.6345812,0.775780683,0.9857805,0.875650377,0.814930403,0.00638663,0.001737535,0.664111562,0.996246456,BARBUNYA
47143,858.562,296.8462778,203.0587116,1.461874132,0.729431915,47996,244.9986364,0.717986598,0.982227686,0.803681099,0.825338415,0.00629672,0.001802281,0.681183499,0.995804537,BARBUNYA
47149,857.69,300.2878932,200.3199142,1.499041643,0.74497456,48091,245.0142267,0.720767408,0.980412135,0.805418604,0.815931086,0.006368913,0.001741242,0.665743536,0.997977284,BARBUNYA
47668,846.128,300.1071521,202.8811611,1.479226314,0.736874947,48450,246.3590522,0.814754042,0.983859649,0.836690159,0.820903636,0.006295778,0.001763591,0.673882779,0.996825139,BARBUNYA
