,status_id,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,clusters
0,1,529,512,262,432,92,3,1,1,0,1
1,2,150,0,0,150,0,0,0,0,0,1
2,3,227,236,57,204,21,1,1,0,0,1
3,4,111,0,0,111,0,0,0,0,0,1
4,5,213,0,0,204,9,0,0,0,0,1
5,6,217,6,0,211,5,1,0,0,0,1
6,7,503,614,72,418,70,10,2,0,3,1
7,8,295,453,53,260,32,1,1,0,1,1
8,9,203,1,0,198,5,0,0,0,0,1
9,10,170,9,1,167,3,0,0,0,0,1
10,11,210,2,3,202,7,1,0,0,0,1
11,12,222,4,0,213,5,4,0,0,0,1
12,13,313,4,2,305,6,2,0,0,0,1
13,14,209,4,0,200,8,1,0,0,0,1
14,15,346,11,0,335,10,1,0,0,0,1
15,16,332,100,30,303,23,1,5,0,0,1
16,17,135,256,79,117,18,0,0,0,0,1
17,18,150,173,47,132,16,1,0,1,0,1
18,19,221,166,36,192,28,0,1,0,0,1
19,20,152,2,0,149,3,0,0,0,0,1
20,21,234,15,1,221,12,1,0,0,0,1
21,22,227,7,1,217,7,2,1,0,0,1
22,23,98,0,0,96,0,2,0,0,0,1
23,24,18,0,0,18,0,0,0,0,0,1
24,25,102,0,0,100,0,2,0,0,0,1
25,26,37,0,1,37,0,0,0,0,0,1
26,27,75,36,14,70,5,0,0,0,0,1
27,28,90,78,9,85,5,0,0,0,0,1
28,29,145,9,0,138,7,0,0,0,0,1
29,30,253,300,31,229,22,1,1,0,0,1
30,31,85,0,0,81,2,2,0,0,0,1
31,32,45,14,0,40,5,0,0,0,0,1
32,33,92,0,0,85,4,2,1,0,0,1
33,34,125,1,0,116,8,1,0,0,0,1
34,35,119,4,0,116,3,0,0,0,0,1
35,36,293,8,0,281,11,1,0,0,0,1
36,37,128,137,26,110,16,2,0,0,0,1
37,38,84,15,13,78,5,1,0,0,0,1
38,39,66,11,6,61,4,1,0,0,0,1
39,40,171,292,28,150,19,1,1,0,0,1
40,41,90,72,23,79,10,1,0,0,0,1
41,42,139,39,9,121,16,1,1,0,0,1
42,43,236,181,21,201,33,0,1,0,1,1
43,44,225,210,34,193,30,0,2,0,0,1
44,45,275,12,0,260,11,4,0,0,0,1
45,46,372,456,37,334,31,1,1,1,4,1
46,47,445,9,0,419,23,3,0,0,0,1
